#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -0.18515571E+02
16    30    0.68107703E-03 
16    31    -0.86033527E-01 
16    32    -0.95277613E-01 
16    33    0.95300887E-01 
16    34    0.86030456E-01 
16    35    0.15396592E-04 
16    36    -0.54366759E-04 
16    37    0.30056563E-04 
16    38    0.48550220E-01 
16    39    -0.17333691E-04 
16    40    -0.21785359E-01 
16    41    0.21743912E-01 
16    42    0.16471492E-04 
16    43    -0.62546802E-04 
16    44    0.89831349E-04 
16    45    -0.92958049E-02 
16    46    -0.51762511E-05 
16    47    0.81940258E-02 
16    48    -0.31559546E-01 
16    49    -0.13941282E-02 
16    50    0.84944092E-02 
16    51    0.67996185E-05 
16    52    -0.82223772E-02 
16    53    0.31668658E-01 
16    54    0.14158143E-02 
16    55    0.85174321E-02 
16    56    -0.76051696E-05 
MO:17   -0.55367202E+00
17    1    -0.11069278E-01 
17    2    0.34158830E-01 
17    3    0.21578434E+00 
17    4    -0.17476196E-04 
17    5    -0.60849119E-03 
17    6    0.88002619E-01 
17    7    -0.24600169E+00 
17    8    0.36811804E-01 
17    9    0.27767723E-02 
17    10    -0.66563051E-03 
17    11    -0.25964999E-02 
17    12    0.11745529E-01 
17    13    -0.14254221E+00 
17    14    0.73456341E-01 
17    15    -0.83956628E-03 
17    16    -0.12230130E+00 
17    17    0.35767288E+00 
17    18    -0.21025793E-01 
17    19    0.18527596E-04 
17    20    -0.47603026E-02 
17    21    -0.26133431E-02 
17    22    0.11790523E-01 
17    23    -0.14254839E+00 
17    24    -0.73467066E-01 
17    25    -0.83495905E-03 
17    26    0.88008940E-01 
17    27    -0.24601778E+00 
17    28    0.36793773E-01 
17    29    -0.27711005E-02 
17    30    -0.66496622E-03 
17    31    -0.74571971E-01 
17    32    0.27669832E-02 
17    33    0.27744270E-02 
17    34    -0.74584651E-01 
17    35    0.41104727E-01 
17    36    -0.15526599E+00 
17    37    0.23444958E+00 
17    38    0.36348604E-05 
17    39    -0.39400275E-01 
17    40    -0.11390252E+00 
17    41    -0.11388104E+00 
17    42    -0.73937125E-01 
17    43    0.29401798E+00 
17    44    -0.29643002E+00 
