51.5  0.99931217 0.00005659 0.00000035 0.00010337 0.00000247 0.00001450 0.00011469 0.00018602 0.00003359 0.00017625  1.00000000
52.0  0.99932339 0.00008625 0.00000076 0.00011373 0.00000155 0.00002120 0.00011752 0.00020530 0.00002183 0.00010847  1.00000000
52.5  0.99920216 0.00008447 0.00000033 0.00011240 0.00000553 0.00003943 0.00012230 0.00029927 0.00001653 0.00011757  1.00000000
53.0  0.99904791 0.00013545 0.00000028 0.00010964 0.00001235 0.00003699 0.00014546 0.00029445 0.00002195 0.00019552  1.00000000
53.5  0.99914808 0.00011109 0.00000150 0.00008143 0.00000755 0.00001869 0.00016131 0.00023322 0.00003545 0.00020167  1.00000000
54.0  0.99917071 0.00017500 0.00000031 0.00007790 0.00000615 0.00001008 0.00014482 0.00025350 0.00003434 0.00012720  1.00000000
54.5  0.99921355 0.00012474 0.00000089 0.00007138 0.00000866 0.00002900 0.00012966 0.00032013 0.00000748 0.00009452  1.00000000
55.0  0.99908987 0.00018585 0.00000018 0.00006392 0.00001001 0.00005817 0.00014813 0.00031106 0.00001172 0.00012109  1.00000000
55.5  0.99902418 0.00012487 0.00000108 0.00006626 0.00000931 0.00006210 0.00017838 0.00025965 0.00004359 0.00023058  1.00000000
56.0  0.99901841 0.00016601 0.00000033 0.00006633 0.00000890 0.00003138 0.00017561 0.00026475 0.00005633 0.00021196  1.00000000
56.5  0.99898848 0.00010248 0.00000091 0.00009171 0.00001060 0.00002969 0.00021028 0.00034287 0.00001056 0.00021242  1.00000000
57.0  0.99890969 0.00011850 0.00000080 0.00010919 0.00000778 0.00002516 0.00031412 0.00031202 0.00001853 0.00018421  1.00000000
57.5  0.99893891 0.00007740 0.00000131 0.00012028 0.00000332 0.00002975 0.00012934 0.00046320 0.00007291 0.00016359  1.00000000
58.0  0.99893405 0.00006582 0.00000337 0.00013779 0.00000429 0.00003035 0.00005338 0.00051143 0.00002088 0.00023864  1.00000000
58.5  0.99891252 0.00004508 0.00000062 0.00012995 0.00000041 0.00002592 0.00000282 0.00058622 0.00004616 0.00025031  1.00000000
59.0  0.99884716 0.00002345 0.00000440 0.00012906 0.00000208 0.00000960 0.00004077 0.00064257 0.00005100 0.00024991  1.00000000
59.5  0.99882737 0.00002175 0.00000048 0.00013189 0.00004208 0.00001639 0.00008278 0.00058742 0.00002970 0.00026014  1.00000000
60.0  0.99890896 0.00000342 0.00000412 0.00019575 0.00001577 0.00003468 0.00005266 0.00051911 0.00002002 0.00024552  1.00000000
60.5  0.99883606 0.00000490 0.00000107 0.00021081 0.00002800 0.00002310 0.00001115 0.00049996 0.00004246 0.00034249  1.00000000
