#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -18.50346
9    40    -0.00008 
9    41    0.00007 
9    42    0.00000 
9    43    -0.00000 
9    44    -0.00000 
9    45    0.00007 
9    46    -0.00000 
9    47    -0.00000 
9    48    0.00000 
9    49    0.00002 
9    50    0.00002 
9    51    -0.00000 
9    52    0.00000 
9    53    -0.00000 
9    54    -0.00002 
9    55    0.00002 
9    56    0.00000 
MO:10   -9.74921
10    1    0.00233 
10    2    -0.00012 
10    3    -0.00013 
10    4    -0.00001 
10    5    0.00000 
10    6    0.03576 
10    7    -0.00521 
10    8    -0.00459 
10    9    -0.00022 
10    10    0.00002 
10    11    0.66877 
10    12    0.03081 
10    13    -0.00039 
10    14    0.00082 
10    15    0.00003 
10    16    0.01182 
10    17    -0.01323 
10    18    0.00477 
10    19    -0.00034 
10    20    0.00001 
10    21    0.72849 
10    22    0.03353 
10    23    -0.00042 
10    24    -0.00089 
10    25    0.00003 
10    26    0.03851 
10    27    -0.00568 
10    28    -0.00499 
10    29    0.00021 
10    30    0.00002 
10    31    -0.00027 
10    32    -0.00652 
10    33    -0.00709 
10    34    -0.00028 
10    35    -0.00003 
10    36    0.00055 
10    37    -0.00016 
10    38    0.00001 
10    39    -0.00004 
10    40    -0.00018 
10    41    -0.00019 
10    42    0.00002 
10    43    -0.00011 
10    44    -0.00009 
10    45    -0.00000 
10    46    -0.00000 
10    47    0.00001 
10    48    -0.00002 
10    49    -0.00003 
10    50    -0.00001 
10    51    0.00000 
10    52    0.00000 
10    53    -0.00002 
10    54    -0.00002 
10    55    0.00001 
10    56    0.00000 
MO:11   -1.03204
11    1    -0.03057 
11    2    0.06091 
11    3    -0.03816 
11    4    -0.00000 
11    5    0.00001 
11    6    -0.00545 
11    7    0.01282 
11    8    -0.00594 
11    9    0.00586 
11    10    0.00000 
11    11    -0.00062 
11    12    0.00159 
11    13    -0.00102 
11    14    0.00014 
11    15    0.00000 
11    16    -0.00029 
11    17    0.00069 
11    18    -0.00034 
11    19    0.00000 
11    20    -0.00000 
11    21    -0.00062 
11    22    0.00159 
11    23    -0.00102 
11    24    -0.00014 
11    25    0.00000 
11    26    -0.00546 
11    27    0.01282 
11    28    -0.00594 
11    29    -0.00587 
11    30    0.00000 
11    31    0.00322 
11    32    0.00011 
11    33    0.00011 
11    34    0.00322 
11    35    -0.00004 
11    36    0.00015 
11    37    -0.00007 
11    38    0.00000 
11    39    -0.00001 
11    40    0.00002 
11    41    0.00002 
11    42    -0.18190 
11    43    0.55311 
11    44    -0.09416 
11    45    0.00003 
11    46    -0.00009 
11    47    -0.11173 
11    48    0.35049 
11    49    0.07186 
11    50    -0.12720 
11    51    -0.00005 
11    52    -0.11171 
11    53    0.35042 
11    54    0.07184 
11    55    0.12717 
11    56    -0.00008 
MO:12   -0.84472
12    1    -0.00000 
12    2    0.00001 
12    3    -0.00000 
12    4    -0.02399 
12    5    0.00000 
12    6    -0.00661 
12    7    0.01473 
12    8    -0.00818 
12    9    0.00126 
12    10    -0.00000 
12    11    -0.00099 
12    12    0.00286 
12    13    -0.00169 
12    14    -0.00003 
12    15    0.00000 
12    16    -0.00000 
12    17    0.00000 
12    18    -0.00000 
12    19    -0.00058 
12    20    -0.00000 
12    21    0.00099 
12    22    -0.00285 
12    23    0.00169 
12    24    -0.00003 
12    25    -0.00000 
12    26    0.00661 
12    27    -0.01472 
12    28    0.00818 
12    29    0.00126 
12    30    0.00000 
12    31    0.00813 
12    32    0.00029 
12    33    -0.00029 
12    34    -0.00813 
12    35    -0.00000 
12    36    0.00000 
12    37    -0.00000 
12    38    -0.00004 
12    39    -0.00000 
12    40    0.00002 
12    41    -0.00002 
12    42    -0.00001 
12    43    0.00005 
12    44    -0.00000 
12    45    -0.37124 
12    46    0.00003 
12    47    0.15311 
12    48    -0.52650 
12    49    -0.09387 
12    50    0.11965 
12    51    0.00007 
12    52    -0.15313 
12    53    0.52657 
12    54    0.09388 
12    55    0.11966 
12    56    -0.00010 
MO:13   -0.80427
13    1    -0.01612 
13    2    0.03895 
13    3    0.01107 
13    4    0.00000 
13    5    -0.00007 
13    6    -0.01964 
13    7    0.04810 
13    8    0.01452 
13    9    0.00932 
13    10    -0.00010 
13    11    -0.04708 
13    12    0.11476 
13    13    0.02333 
13    14    0.03847 
13    15    -0.00017 
13    16    -0.12788 
13    17    0.30553 
13    18    0.08964 
13    19    0.00000 
13    20    0.00060 
13    21    -0.04708 
13    22    0.11476 
13    23    0.02333 
13    24    -0.03847 
13    25    -0.00017 
13    26    -0.01964 
13    27    0.04810 
13    28    0.01452 
13    29    -0.00932 
13    30    -0.00011 
13    31    0.00661 
13    32    0.02146 
13    33    0.02146 
13    34    0.00661 
13    35    -0.19493 
13    36    0.63725 
